ID;V;A;time;C
ID1;0.522625;1;0;0.331782303
ID1;0.522625;1;0.333333333;0.330405251
ID1;0.522625;1;0.666666667;0.339431148
ID1;0.522625;1;1;0.446910186
ID2;0.523625;1;0;0.457270776
ID2;0.523625;1;0.333333333;0.478359686
ID2;0.523625;1;0.666666667;0.370860022
ID2;0.523625;1;1;0.363319409
ID3;0.533875;1;0;0.473238224
ID3;0.533875;1;0.333333333;0.461981378
ID3;0.533875;1;0.666666667;0.341717762
ID3;0.533875;1;1;0.424063181
ID4;0.527375;1;0;0.329605085
ID4;0.527375;1;0.333333333;0.478418257
ID4;0.527375;1;0.666666667;0.338134059
ID4;0.527375;1;1;0.352813086
ID5;0.536625;1;0;0.34169064
ID5;0.536625;1;0.333333333;0.350418729
ID5;0.536625;1;0.666666667;0.377568631
ID5;0.536625;1;1;0.419273093
ID6;0.535125;1;0;0.324198212
ID6;0.535125;1;0.333333333;0.383831111
ID6;0.535125;1;0.666666667;0.362394149
ID6;0.535125;1;1;0.506730297
ID7;0.524;1;0;0.460303131
ID7;0.524;1;0.333333333;0.490974522
ID7;0.524;1;0.666666667;0.482937975
ID7;0.524;1;1;0.501719407
ID8;0.53975;1;0;0.34787539
ID8;0.53975;1;0.333333333;0.386111799
ID8;0.53975;1;0.666666667;0.437868026
ID8;0.53975;1;1;0.443241495
ID9;0.541;1;0;0.329901894
ID9;0.541;1;0.333333333;0.355029568
ID9;0.541;1;0.666666667;0.457219268
ID9;0.541;1;1;0.454635635
ID10;0.534625;1;0;0.353505574
ID10;0.534625;1;0.333333333;0.448973236
ID10;0.534625;1;0.666666667;0.409744596
ID10;0.534625;1;1;0.455313124
ID11;0.55;1;0;0.333777724
ID11;0.55;1;0.333333333;0.441021785
ID11;0.55;1;0.666666667;0.508049877
ID11;0.55;1;1;0.541737086
ID12;0.5405;1;0;0.448535586
ID12;0.5405;1;0.333333333;0.374313773
ID12;0.5405;1;0.666666667;0.400171255
ID12;0.5405;1;1;0.443753362
ID13;0.518;1;0;0.471545949
ID13;0.518;1;0.333333333;0.434798461
ID13;0.518;1;0.67;0.38487006
ID13;0.518;1;1;0.381074788
ID14;0.524125;1;0;0.460264243
ID14;0.524125;1;0.333333333;0.455862427
ID14;0.524125;1;0.666666667;0.488563291
ID14;0.524125;1;1;0.473467797
ID15;0.532375;1;0;0.445433893
ID15;0.532375;1;0.333333333;0.482332876
ID15;0.532375;1;0.666666667;0.426547707
ID15;0.532375;1;1;0.489718151
ID16;0.528;1;0;0.383060421
ID16;0.528;1;0.333333333;0.462058769
ID16;0.528;1;0.666666667;0.351678308
ID16;0.528;1;1;0.367068252
ID17;0.53075;1;0;0.312418686
ID17;0.53075;1;0.333333333;0.352503977
ID17;0.53075;1;0.666666667;0.489483827
ID17;0.53075;1;1;0.458830971
ID18;0.5315;1;0;0.448785712
ID18;0.5315;1;0.333333333;0.484552983
ID18;0.5315;1;0.666666667;0.502174362
ID18;0.5315;1;1;0.354970924
ID19;0.51725;1;0;0.444974069
ID19;0.51725;1;0.333333333;0.448102942
ID19;0.51725;1;0.666666667;0.360624489
ID19;0.51725;1;1;0.431377497
ID20;0.538625;1;0;0.462808329
ID20;0.538625;1;0.333333333;0.446798948
ID20;0.538625;1;0.666666667;0.496922141
ID20;0.538625;1;1;0.51093282
ID21;0.54025;1;0;0.350246454
ID21;0.54025;1;0.333333333;0.489412433
ID21;0.54025;1;0.666666667;0.355907018
ID21;0.54025;1;1;0.359167608
ID22;0.529625;1;0;0.321277628
ID22;0.529625;1;0.333333333;0.35911988
ID22;0.529625;1;0.666666667;0.358296883
ID22;0.529625;1;1;0.391874596
ID23;0.54375;1;0;0.448062921
ID23;0.54375;1;0.333333333;0.455495294
ID23;0.54375;1;0.666666667;0.356140114
ID23;0.54375;1;1;0.483977
ID24;0.536;1;0;0.392529362
ID24;0.536;1;0.333333333;0.372642014
ID24;0.536;1;0.666666667;0.492265893
ID24;0.536;1;1;0.565182428
ID25;0.523875;1;0;0.370391564
ID25;0.523875;1;0.333333333;0.41193813
ID25;0.523875;1;0.666666667;0.431332309
ID25;0.523875;1;1;0.436497412
ID26;0.521375;1;0;0.389749986
ID26;0.521375;1;0.333333333;0.377013842
ID26;0.521375;1;0.666666667;0.400220541
ID26;0.521375;1;1;0.402724801
ID27;0.535125;1;0;0.386307772
ID27;0.535125;1;0.333333333;0.397806438
ID27;0.535125;1;0.666666667;0.407657537
ID27;0.535125;1;1;0.394698896
ID28;0.52425;1;0;0.379088962
ID28;0.52425;1;0.666666667;0.43815675
ID28;0.52425;1;1;0.422902168
ID29;0.535375;1;0;0.381936122
ID29;0.535375;1;0.333333333;0.446589482
ID29;0.535375;1;0.666666667;0.403270621
ID29;0.535375;1;1;0.40696766
ID30;0.53675;1;0;0.386833807
ID30;0.53675;1;0.333333333;0.387051528
ID30;0.53675;1;0.666666667;0.437625312
ID30;0.53675;1;1;0.390755922
ID31;0.52525;1;0;0.370562112
ID31;0.52525;1;0.333333333;0.430567918
ID31;0.52525;1;0.666666667;0.449273247
ID31;0.52525;1;1;0.482399929
ID32;0.544375;1;0;0.359055684
ID32;0.544375;1;0.666666667;0.439096868
ID32;0.544375;1;1;0.440120105
ID33;0.544375;1;0;0.382553315
ID33;0.544375;1;0.333333333;0.419577978
ID33;0.544375;1;0.666666667;0.408959266
ID33;0.544375;1;1;0.438651797
ID34;0.534125;1;0;0.381895354
ID34;0.534125;1;0.333333333;0.384470898
ID34;0.534125;1;0.666666667;0.431970235
ID34;0.534125;1;1;0.436673104
ID35;0.5505;1;0;0.352099426
ID35;0.5505;1;0.333333333;0.371255184
ID35;0.5505;1;0.666666667;0.3888379
ID35;0.5505;1;1;0.40755531
ID36;0.544;1;0;0.378081089
ID36;0.544;1;0.333333333;0.375867217
ID36;0.544;1;0.666666667;0.349935756
ID36;0.544;1;1;0.404370804
ID37;0.526625;1;0;0.386706716
ID37;0.526625;1;0.333333333;0.402153564
ID37;0.526625;1;0.666666667;0.403948921
ID37;0.526625;1;1;0.415877661
ID38;0.529125;1;0;0.391059118
ID38;0.529125;1;0.333333333;0.415467629
ID38;0.529125;1;0.666666667;0.423897468
ID38;0.529125;1;1;0.417460742
ID39;0.532625;1;0;0.385253785
ID39;0.532625;1;0.333333333;0.400539503
ID39;0.532625;1;0.666666667;0.402318421
ID39;0.532625;1;1;0.410655783
ID40;0.523625;1;0;0.391314335
ID40;0.523625;1;0.333333333;0.39367174
ID40;0.523625;1;0.666666667;0.350913636
ID40;0.523625;1;1;0.421815725
ID41;0.533875;1;0;0.389642786
ID41;0.533875;1;0.333333333;0.400336278
ID41;0.533875;1;0.666666667;0.380063896
ID41;0.533875;1;1;0.433441825
ID42;0.536875;1;0;0.384085885
ID42;0.536875;1;0.333333333;0.383241004
ID42;0.536875;1;0.666666667;0.387557693
ID42;0.536875;1;1;0.418298683
ID43;0.522125;1;0;0.362498454
ID43;0.522125;1;0.333333333;0.382652499
ID43;0.522125;1;0.666666667;0.361669869
ID43;0.522125;1;1;0.404347724
ID44;0.54175;1;0;0.37734371
ID44;0.54175;1;0.333333333;0.405509894
ID44;0.54175;1;0.666666667;0.442317183
ID44;0.54175;1;1;0.492687543
ID45;0.5455;1;0;0.377199988
ID45;0.5455;1;0.333333333;0.379793781
ID45;0.5455;1;0.666666667;0.395610521
ID45;0.5455;1;1;0.394497766
ID46;0.53575;1;0;0.376431915
ID46;0.53575;1;0.333333333;0.385036926
ID46;0.53575;1;0.666666667;0.389020358
ID46;0.53575;1;1;0.417211651
ID47;0.549875;1;0;0.348477813
ID47;0.549875;1;0.333333333;0.373477557
ID47;0.549875;1;0.666666667;0.398342146
ID47;0.549875;1;1;0.38817001
ID48;0.542375;1;0;0.367822063
ID48;0.542375;1;0.333333333;0.387835172
ID48;0.542375;1;0.666666667;0.394791874
ID48;0.542375;1;1;0.400301131
ID49;0.520875;1;0;0.375340821
ID49;0.520875;1;0.333333333;0.398063335
ID49;0.520875;1;0.666666667;0.423457605
ID49;0.520875;1;1;0.427370375
ID50;0.52225;1;0;0.300911758
ID50;0.52225;1;0.333333333;0.384358983
